h3_id,listing_count,median_price,mean_price,min_price,max_price,accommodates_mean,accommodates_median,bedrooms_mean,bedrooms_median,beds_mean,beds_median,bathrooms_mean,bathrooms_median,distance_to_center_km_mean,distance_to_center_km_median
881f058339fffff,594,1223.0,1306.0016835016836,314.0,2750.0,3.1026936026936025,2.5,1.4764309764309764,1.0,1.6952861952861953,1.0,1.0311447811447811,1.0,1.301919191919192,1.34
881f058351fffff,501,1035.0,1113.9900199600797,270.0,2728.0,2.8942115768463075,2.0,1.334,1.0,1.5249500998003993,1.0,1.0159680638722555,1.0,2.624610778443114,2.64
881f05833dfffff,436,1201.5,1276.2591743119267,323.0,2805.0,3.31651376146789,3.0,1.5711009174311927,1.0,1.7775229357798166,2.0,1.0951834862385321,1.0,2.003922018348624,2.01
881f058331fffff,399,1170.0,1243.814536340852,360.0,2800.0,2.9649122807017543,2.0,1.380952380952381,1.0,1.5714285714285714,1.0,1.0314070351758795,1.0,1.5220300751879698,1.53
881f058357fffff,390,1201.5,1265.876923076923,345.0,2726.0,2.9743589743589745,2.0,1.4153846153846155,1.0,1.5307692307692307,1.0,1.028205128205128,1.0,1.7776153846153846,1.77
881f058355fffff,377,1085.0,1175.4641909814325,246.0,2550.0,3.042440318302387,2.0,1.4350132625994696,1.0,1.5782493368700266,1.0,1.0490716180371353,1.0,2.43946949602122,2.41
881f058229fffff,374,1140.0,1235.8475935828876,495.0,2790.0,2.770053475935829,2.0,1.3823529411764706,1.0,1.4438502673796791,1.0,1.0240641711229947,1.0,3.472139037433155,3.47
881f05835dfffff,366,959.0,1070.4890710382513,299.0,2800.0,2.9644808743169397,2.0,1.349726775956284,1.0,1.5273224043715847,1.0,1.0314207650273224,1.0,3.111612021857923,3.09
881f058311fffff,318,1595.5,1616.7924528301887,343.0,2783.0,3.5786163522012577,3.5,1.5817610062893082,1.0,1.9937106918238994,2.0,1.0927672955974843,1.0,0.7033647798742138,0.75
881f05831dfffff,280,1278.0,1359.817857142857,411.0,2791.0,3.1607142857142856,3.0,1.5535714285714286,1.0,1.6928571428571428,1.0,1.0517857142857143,1.0,1.094607142857143,1.2
881f058319fffff,271,1425.0,1497.2730627306273,136.0,2790.0,3.4354243542435423,3.0,1.6678966789667897,1.0,1.944649446494465,2.0,1.0590405904059041,1.0,1.4745756457564576,1.51
881f058221fffff,271,1260.0,1348.719557195572,374.0,2700.0,3.206642066420664,3.0,1.6125461254612545,1.0,1.7453874538745386,1.0,1.0461254612546125,1.0,2.8490036900369007,2.85
881f058063fffff,248,965.0,1048.2983870967741,300.0,2684.0,2.6693548387096775,2.0,1.2540322580645162,1.0,1.3790322580645162,1.0,1.0181451612903225,1.0,2.6126612903225808,2.65
881f058309fffff,245,1086.0,1163.330612244898,288.0,2625.0,2.9224489795918367,2.0,1.3265306122448979,1.0,1.489795918367347,1.0,1.0346938775510204,1.0,2.5475102040816324,2.56
